pct.name,alloc.0708,alloc.0809,alloc.0910,alloc.1011,alloc.1112,alloc.1213
Trafford,299535110.1,315895717.8,340332000,357831000,379322000,389916000
Wakefield District,489186003.7,515905343.2,564093000,595118000,629748000,647429000
Walsall Teaching,374065523.2,394496982,425164000,448548000,473155000,486408000
Waltham Forest,347334726.9,366306149.6,395510000,415846000,435049000,447317000
Wandsworth,420026623.6,442968477.8,488965000,514106000,564632000,580655000
Warrington,259049950.3,273199258.6,290606000,306628000,325135000,334239000
Warwickshire,652206439.8,687829955.6,739819000,781747000,828992000,852212000
West Essex,340398608.4,358991180.4,390481000,410562000,434146000,446383000
West Kent,810316240.8,854575713.9,926518000,977459000,1027962000,1056909000
West Sussex,1034022552,1090500864,1172602000,1232894000,1299123000,1335682000
Western Cheshire,332115572.3,350255724.9,375103000,394678000,415749000,427388000
Westminster,396901939.4,418580723.3,447789000,470813000,493587000,507518000
Wiltshire,539615520.3,569089320.1,610462000,642526000,676186000,695240000
Wirral,500616589.6,527960267.7,565696000,594782000,630164000,647784000
Wolverhampton City,360655570.1,380354577.4,408545000,431015000,452258000,464859000
Worcestershire,679280930.7,716383255.1,771728000,815248000,864037000,888313000
