lsoa.code,lsoa.popn
E01011952,1671
E01011953,1897
E01011991,1825
E01011992,1586
E01011993,1775
E01011994,1582
E01011955,1376
E01011957,1323
E01032540,1003
E01032541,2168
E01033466,1987
E01011973,1323
E01011974,1692
E01011975,1332
E01011976,1024
E01011965,1652
E01011966,1365
E01011983,1714
E01012002,1377
E01011951,1406
E01011964,1492
E01011967,1502
E01011999,2199
E01012000,1356
E01011950,1457
E01011986,1272
E01011987,1404
E01012001,1958
E01011949,1944
E01011980,1690
E01011981,1657
E01011984,1249
E01011985,1164
E01011988,1905
E01011989,1878
E01011990,1721
E01011995,1424
E01011996,1505
E01011997,2039
E01011998,1466
E01011961,1440
E01011962,1459
E01011977,1753
E01011978,1560
E01011979,1552
E01011959,2058
E01011960,1398
E01011963,1415
E01011968,2134
E01011982,1301
E01012003,1538
E01012005,2044
E06000002,138368
E01012068,2360
E01012092,2194
E01012093,1969
E01012094,2562
E01033468,2522
E01012058,1629
E01012059,1503
E01012060,1685
E01012061,1464
E01012036,1536
E01012037,1544
E01012038,1510
E01012039,1516
E01012040,1468
E01012041,1022
E01012074,1553
E01012075,1609
E01012076,1552
E01012077,1362
E01012088,1445
E01012078,1452
E01012079,1445
E01012080,1274
E01012081,1755
E01012026,1594
E01012027,1758
E01033469,1997
E01012015,1496
E01012016,1690
E01012017,1572
E01012089,1552
E01012090,1547
E01012091,1749
E01012011,1860
E01012012,1796
E01012013,1312
E01012014,1552
E01012053,1685
E01012054,1767
E01012055,1940
E01012056,2289
E01012057,2018
E01012082,1579
E01012083,1565
E01012084,1655
E01012085,1473
E01012018,1673
E01012019,1300
E01012020,1581
E01012021,1389
E01012007,1485
E01012008,1421
E01012009,1759
E01012010,1364
E01012046,1725
E01012047,1610
E01012048,1733
E01012049,1415
E01012050,1487
E01012051,1371
E01012052,1322
E01012022,1518
E01012023,1366
E01012024,1529
E01012025,1293
E01012065,1661
E01012066,2030
E01012067,1596
E01012042,1459
E01012043,1451
E01012044,1574
E01012045,1473
E01032552,1640
E01032553,1242
E01012030,1514
E01012031,1559
E01012032,1738
E01012033,1302
E01012034,1494
E01012035,1340
E01012062,1474
E01012063,1417
E01012064,1835
E01012071,1472
E01012073,1424
E01032593,1955
E06000048,316278
E01027376,1741
E01027377,1672
E01027385,1332
E01027387,1798
E01027388,1446
